individual 0: ( 0, G(1, 3) )( 1, N38(106, 59) ) ( 2, N19(96, 7) ) ( 3, N17(112, 103) ) ( 4, N20(140, 21) ) ( 5, N28(72, 7) ) 
individual 11: ( 0, G(1, 3) )( 1, N17(112, 103) ) ( 2, N20(140, 21) ) ( 3, N38(106, 59) ) ( 4, N28(72, 7) ) ( 5, N19(96, 7) ) 

individual 12: ( 0, G(1, 3) )( 1, N20(140, 21) ) ( 2, N19(96, 7) ) ( 3, N17(112, 103) ) ( 4, N38(106, 59) ) ( 5, N28(72, 7) ) 

individual 13: ( 0, G(1, 3) )( 1, N28(72, 7) ) ( 2, N38(106, 59) ) ( 3, N19(96, 7) ) ( 4, N17(112, 103) ) ( 5, N20(140, 21) ) 

individual 14: ( 0, G(1, 3) )( 1, N38(106, 59) ) ( 2, N19(96, 7) ) ( 3, N28(72, 7) ) ( 4, N20(140, 21) ) ( 5, N17(112, 103) ) 

individual 15: ( 0, G(1, 3) )( 1, N19(96, 7) ) ( 2, N20(140, 21) ) ( 3, N28(72, 7) ) ( 4, N17(112, 103) ) ( 5, N38(106, 59) ) 

individual 16: ( 0, G(1, 3) )( 1, N19(96, 7) ) ( 2, N17(112, 103) ) ( 3, N20(140, 21) ) ( 4, N28(72, 7) ) ( 5, N38(106, 59) ) 

individual 17: ( 0, G(1, 3) )( 1, N17(112, 103) ) ( 2, N20(140, 21) ) ( 3, N19(96, 7) ) ( 4, N38(106, 59) ) ( 5, N28(72, 7) ) 

individual 18: ( 0, G(1, 3) )( 1, N17(112, 103) ) ( 2, N20(140, 21) ) ( 3, N38(106, 59) ) ( 4, N28(72, 7) ) ( 5, N19(96, 7) ) 

individual 19: ( 0, G(1, 3) )( 1, N38(106, 59) ) ( 2, N19(96, 7) ) ( 3, N28(72, 7) ) ( 4, N20(140, 21) ) ( 5, N17(112, 103) ) 

individual 20: ( 0, G(1, 3) )( 1, N17(112, 103) ) ( 2, N38(106, 59) ) ( 3, N19(96, 7) ) ( 4, N20(140, 21) ) ( 5, N28(72, 7) ) 

individual 21: ( 0, G(1, 3) )( 1, N17(112, 103) ) ( 2, N28(72, 7) ) ( 3, N20(140, 21) ) ( 4, N19(96, 7) ) ( 5, N38(106, 59) ) 

individual 22: ( 0, G(1, 3) )( 1, N38(106, 59) ) ( 2, N28(72, 7) ) ( 3, N20(140, 21) ) ( 4, N19(96, 7) ) ( 5, N17(112, 103) ) 

individual 23: ( 0, G(1, 3) )( 1, N17(112, 103) ) ( 2, N20(140, 21) ) ( 3, N38(106, 59) ) ( 4, N28(72, 7) ) ( 5, N19(96, 7) ) 

individual 24: ( 0, G(1, 3) )( 1, N19(96, 7) ) ( 2, N17(112, 103) ) ( 3, N20(140, 21) ) ( 4, N28(72, 7) ) ( 5, N38(106, 59) ) 

individual 25: ( 0, G(1, 3) )( 1, N17(112, 103) ) ( 2, N20(140, 21) ) ( 3, N28(72, 7) ) ( 4, N19(96, 7) ) ( 5, N38(106, 59) ) 

individual 26: ( 0, G(1, 3) )( 1, N17(112, 103) ) ( 2, N20(140, 21) ) ( 3, N38(106, 59) ) ( 4, N28(72, 7) ) ( 5, N19(96, 7) ) 

individual 27: ( 0, G(1, 3) )( 1, N20(140, 21) ) ( 2, N19(96, 7) ) ( 3, N17(112, 103) ) ( 4, N38(106, 59) ) ( 5, N28(72, 7) ) 

individual 28: ( 0, G(1, 3) )( 1, N38(106, 59) ) ( 2, N19(96, 7) ) ( 3, N17(112, 103) ) ( 4, N20(140, 21) ) ( 5, N28(72, 7) ) 

individual 29: ( 0, G(1, 3) )( 1, N17(112, 103) ) ( 2, N20(140, 21) ) ( 3, N28(72, 7) ) ( 4, N19(96, 7) ) ( 5, N38(106, 59) ) 


best fitness: 55.225, individual: 0
avg. fitness: 55.225
